state,fiscal_year,funds_awarded,ccdf_discretionary,ssbg_block_grant,adjusted_award,carryover,basic_assistance,basic_assistance_no_subsidies,basic_assistance_subsidies,other_assistance,other_assistance_foster,other_assistance_juvenile_justice,other_assistance_emergency,non_assistance,non_assistance_welfare_foster,non_assistance_juvenile_justice,non_assistance_emergency,work_ed,work_ed_subsidized_emp,work_ed_training,work_ed_other,work_supports,early_ed,early_ed_childcare,early_ed_prek,financial_ed,eitc_refundable,non_eitc_refundable,short_term_benefits,support__services,children_youth_services,pregnancy_prevention,fatherhood_programs,child_welfare,child_welfare_family,child_welfare_adoption,child_welfare_other,home_visiting,program_mgmt,program_mgmt_admin,program_mgmt_assessment,program_mgmt_systems,other,total_expenditures,fed_unliquidated,unobligated_balance
NEW JERSEY,2022.00,402701508.00,79000000.00,9377000.00,314324508.00,140235418.20,82201032.26,81516553.26,684479.00,6840000.00,0.00,0.00,6840000.00,0.00,0.00,0.00,0.00,58805743.00,296394.00,8898321.00,49611028.00,3099553.95,748052374.90,107567541.00,640484833.90,5585.00,335886789.20,0.00,9050938.48,15366804.93,37351659.00,0.00,5169988.45,0.00,0.00,0.00,0.00,1792145.00,49928238.87,48013503.03,0.00,1914735.84,0.00,1353550853.00,146557406.50,0.00
NEW MEXICO,2022.00,123014365.00,31527500.00,0.00,78392347.00,55242587.50,52310324.20,52310324.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10749351.64,2399367.86,1086311.25,7263672.53,180035.99,29727687.53,0.00,29727687.53,0.00,0.00,270948432.00,17365616.13,13744991.52,5577945.36,437718.10,200000.00,679547.47,679547.47,0.00,0.00,4849373.64,5498511.99,4510884.53,0.00,987627.46,0.00,412269535.60,63784643.35,0.00
NEW YORK,2022.00,2724929779.00,1182800.00,205437722.00,2228248409.00,777581674.00,1576542643.00,1576542643.00,0.00,150334289.00,136271313.00,14062976.00,0.00,40381034.00,10494830.00,3284069.00,26602135.00,122953464.60,39380903.00,7330101.61,76242460.00,1303895.00,996667119.50,101983998.00,894683121.50,17784.00,590669572.50,320821868.90,239895926.00,51479153.45,26299829.00,0.00,302405.00,228785611.00,155426236.00,8988463.00,64370912.00,1151983.00,476854456.40,421488853.40,47312090.00,8053513.00,0.00,4824461034.00,142237389.00,1117558128.00
NORTH CAROLINA,2022.00,336228135.00,21773001.00,18343512.00,260321114.00,44145919.00,26096681.00,26096681.00,0.00,0.00,0.00,0.00,0.00,69842435.00,69842435.00,0.00,0.00,2483152.00,1664.00,940131.00,1541357.00,732148.00,272118041.00,200277556.00,71840485.00,0.00,0.00,0.00,3182021.00,220901.00,3425984.00,0.00,80594.00,74403515.00,8820617.00,314644.00,65268254.00,0.00,61695633.00,42819546.00,17388994.00,1487093.00,0.00,514281105.00,55360265.00,3701.00
NORTH DAKOTA,2022.00,26312690.00,0.00,0.00,26312690.00,6182766.00,2703326.00,2265554.00,437772.00,10907721.00,10907721.00,0.00,0.00,1122770.00,1122770.00,0.00,0.00,3743808.00,0.00,8679.00,3735129.00,439813.00,1203825.00,1203825.00,0.00,0.00,0.00,0.00,14620.00,0.00,0.00,243474.00,0.00,3900449.00,3900449.00,0.00,0.00,0.00,4404469.00,3367594.00,112772.00,924103.00,0.00,28684275.00,0.00,12880467.00
OHIO,2022.00,725565965.00,0.00,72556596.00,653009369.00,618965248.00,205879842.50,205879842.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85274022.00,11883364.22,20843156.22,52547501.56,49623708.02,419180562.80,418254965.80,925596.95,33082.69,0.00,0.00,57852321.78,19408661.73,12941029.64,63229340.86,11199182.82,21020486.19,4593755.87,0.00,16426730.32,0.00,133133306.90,89770536.70,29323773.01,14038997.23,0.00,1078775548.00,646643767.10,0.00
OKLAHOMA,2022.00,138007998.00,27601599.00,13800800.00,96605599.00,333671323.00,11314536.00,10293553.00,1020983.00,5863341.00,5863341.00,0.00,0.00,0.00,0.00,0.00,0.00,20214621.00,0.00,20214621.00,0.00,163129.00,49674645.00,49674645.00,0.00,0.00,0.00,0.00,358611.00,1512173.00,1300123.00,0.00,14017443.00,6681529.00,6200331.00,0.00,481198.00,0.00,7804467.00,5229016.00,1595490.00,979961.00,172453.00,119077071.00,74265201.00,294233587.00
OREGON,2022.00,165835476.00,0.00,0.00,165835476.00,135508031.00,76946384.56,76946384.56,0.00,12916355.14,11409939.27,0.00,1506415.87,0.00,0.00,0.00,0.00,18480890.67,747368.68,2405987.06,15327534.93,6722030.92,46183596.05,28497197.59,17686398.46,0.00,0.00,3380632.00,22639811.65,9940680.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20548083.07,14923970.07,5624113.01,0.00,0.00,217758464.30,0.00,181087771.90
PENNSYLVANIA,2022.00,717124957.00,172650000.00,30977000.00,513497957.00,797355823.00,101363795.00,101363795.00,0.00,0.00,0.00,0.00,0.00,46027648.00,0.00,45603995.00,423653.00,95607430.00,0.00,1477110.00,94130320.00,1183594.00,532491104.00,256137649.00,276353455.00,0.00,0.00,0.00,8720559.00,0.00,0.00,30925490.00,1834714.00,0.00,0.00,0.00,0.00,12741958.00,58564069.00,48639161.00,0.00,9924908.00,0.00,889460361.00,180616172.00,776022819.00
RHODE ISLAND,2022.00,94708016.00,0.00,5306250.00,89401766.00,51700841.00,20322419.00,20322419.00,0.00,0.00,0.00,0.00,0.00,4716305.00,0.00,0.00,4716305.00,9577245.00,0.00,0.00,9577245.00,1248195.00,25235435.00,24045435.00,1190000.00,0.00,19364568.00,121851.00,0.00,19551259.00,0.00,0.00,0.00,19032366.00,0.00,0.00,19032366.00,0.00,9600301.00,5806526.00,3588580.00,205195.00,0.00,128769944.00,0.00,82379594.00
