state,fiscal_year,funds_awarded,ccdf_discretionary,ssbg_block_grant,adjusted_award,carryover,basic_assistance,basic_assistance_no_subsidies,basic_assistance_subsidies,other_assistance,other_assistance_foster,other_assistance_juvenile_justice,other_assistance_emergency,non_assistance,non_assistance_welfare_foster,non_assistance_juvenile_justice,non_assistance_emergency,work_ed,work_ed_subsidized_emp,work_ed_training,work_ed_other,work_supports,early_ed,early_ed_childcare,early_ed_prek,financial_ed,eitc_refundable,non_eitc_refundable,short_term_benefits,support__services,children_youth_services,pregnancy_prevention,fatherhood_programs,child_welfare,child_welfare_family,child_welfare_adoption,child_welfare_other,home_visiting,program_mgmt,program_mgmt_admin,program_mgmt_assessment,program_mgmt_systems,other,total_expenditures,fed_unliquidated,unobligated_balance
MARYLAND,2022,255543913,0,22834200,205507808,15826856,74446930,47619203.00,26827727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27834571.00,7842151.00,2338096.00,17654324.00,3221901.00,80742680.00,5862133.00,74880547.00,0.00,284745585.00,0.00,52090973.00,0.00,0.00,0.00,1159847.00,48246879.00,40158859.00,0.00,8088020.00,1083604.00,41052638.00,15970826.00,21667548.00,3414264.00,0.00,614625608.00,0.00,54408842.00
MASSACHUSETTS,2022,512398524,91570224,45785519,320499448,0,296818405,296818405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151875880.00,0.00,143300540.00,8575340.00,8754408.00,267043565.00,267043565.00,0.00,0.00,164619422.00,0.00,66208520.00,23539524.00,0.00,9988534.00,0.00,10435930.00,10435930.00,0.00,0.00,0.00,41441341.00,41441341.00,0.00,0.00,0.00,1040725529.00,0.00,0.00
MICHIGAN,2022,772794194,8300000,77279419,687214775,115980984,99040380.89,43976056.48,55064324.41,13617393.99,13617393.99,0.00,0.00,142152.96,0.00,0.00,142152.96,3834765.81,1072550.14,2762215.67,0.00,56043055.08,252299414.00,19529091.20,232770322.80,0.00,38066101.44,0.00,23785333.50,130408.35,346715082.85,0.00,0.00,61647839.35,61647839.35,0.00,0.00,0.00,349826799.92,55184811.66,292098332.56,2543655.70,0.00,1245148728.14,0.00,124420243.64
MINNESOTA,2022,259569108,57369000,4790000,197410108,141294875,109048379,109048379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64553580.00,0.00,681406.00,63872174.00,1853086.00,59581677.00,53881677.00,5700000.00,0.00,89675692.00,4740171.00,18029812.00,0.00,0.00,1008214.00,0.00,0.00,0.00,0.00,0.00,4696498.00,47407260.00,47012666.00,0.00,394594.00,4085282.00,404679651.00,203118181.00,50888708.00
MISSISSIPPI,2022,86481245,0,0,86481245,97906265,4318331,4318331.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24120537.00,0.00,21234921.00,2885616.00,496894.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15102350.00,10637785.00,0.00,0.00,10637785.00,0.00,5471525.00,4510891.00,0.00,960634.00,0.00,60147422.00,0.00,145964396.00
MISSOURI,2022,216335469,0,21633546.9,194701922.1,0,21602871.42,21602871.42,0.00,0.00,0.00,0.00,0.00,121973416.14,121973416.14,0.00,0.00,71390342.24,343295.41,53286496.04,17760550.79,1110085.06,21825936.00,21825936.00,0.00,0.00,0.00,0.00,90639310.07,6967459.37,552181.00,4256183.73,15304432.75,0.00,0.00,0.00,0.00,0.00,13887617.93,13355725.12,0.00,531892.81,0.00,369509835.69,0.00,0.00
MONTANA,2022,37888854,5000000,1976440,30912414,41650619,8093972,8093972.00,0.00,1482989.00,0.00,0.00,1482989.00,1229432.00,1229432.00,0.00,0.00,2836448.00,349204.00,274184.00,2213060.00,266474.00,1776543.00,1776543.00,0.00,180618.00,0.00,0.00,268445.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9854930.00,3232269.00,6227142.00,395519.00,0.00,25989851.00,0.00,60772432.00
NEBRASKA,2022,56627234,11325446.8,5662723.4,39639063.8,121223049.9,19244071.06,19244071.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8350215.04,0.00,893458.75,7456756.29,0.00,6498998.00,6498998.00,0.00,0.00,31265222.79,5407917.00,47112.53,0.00,278868.83,1485539.78,1706117.43,4036519.60,3982966.46,0.00,53553.14,1389331.23,3330952.73,3047432.09,0.00,283520.64,0.00,83040866.01,6286094.14,119835696.78
NEVADA,2022,43762394,2500000,0,41262394,39484640,31116925.18,31116925.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1597750.00,52224.00,337530.00,1207996.00,1788056.39,14297346.24,14297346.24,0.00,7430.64,0.00,0.00,8464965.50,5602978.13,1865735.34,167129.42,0.00,32051153.64,7228525.63,0.00,24822628.01,1058246.06,20584893.27,6905788.91,5931042.82,7748061.54,0.00,118602609.81,0.00,45427855.31
NEW HAMPSHIRE,2022,38394141,0,936937,37457204,52563543.62,26562163.89,25158339.59,1403824.30,9275488.57,6645351.77,1517773.25,1112363.56,0.00,0.00,0.00,0.00,6340020.42,0.00,128952.08,6211068.34,263728.03,4581866.00,4581866.00,0.00,0.00,0.00,0.00,17666.92,1377127.92,0.00,138773.71,0.00,0.00,0.00,0.00,0.00,1553844.58,6852127.88,5911343.62,0.00,940784.26,3345551.89,60308359.81,0.00,61827487.80
NEW JERSEY,2022,402701508,79000000,9377000,314324508,140235418.2,82201032.26,81516553.26,684479.00,6840000.00,0.00,0.00,6840000.00,0.00,0.00,0.00,0.00,58805743.00,296394.00,8898321.00,49611028.00,3099553.95,748052374.87,107567541.00,640484833.87,5585.00,335886789.20,0.00,9050938.48,15366804.93,37351659.00,0.00,5169988.45,0.00,0.00,0.00,0.00,1792145.00,49928238.87,48013503.03,0.00,1914735.84,0.00,1353550852.99,146557406.50,0.00
NEW MEXICO,2022,123014365,31527500,0,78392347,55242587.5,52310324.2,52310324.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10749351.64,2399367.86,1086311.25,7263672.53,180035.99,29727687.53,0.00,29727687.53,0.00,0.00,270948432.00,17365616.13,13744991.52,5577945.36,437718.10,200000.00,679547.47,679547.47,0.00,0.00,4849373.64,5498511.99,4510884.53,0.00,987627.46,0.00,412269535.57,63784643.35,0.00
NEW YORK,2022,2724929779,1182800,205437722,2228248409,777581674,1576542643,1576542643.00,0.00,150334289.00,136271313.00,14062976.00,0.00,40381034.00,10494830.00,3284069.00,26602135.00,122953464.61,39380903.00,7330101.61,76242460.00,1303895.00,996667119.48,101983998.00,894683121.48,17784.00,590669572.50,320821868.93,239895926.00,51479153.45,26299829.00,0.00,302405.00,228785611.00,155426236.00,8988463.00,64370912.00,1151983.00,476854456.41,421488853.41,47312090.00,8053513.00,0.00,4824461034.37,142237389.00,1117558128.39
NORTH CAROLINA,2022,336228135,21773001,18343512,260321114,44145919,26096681,26096681.00,0.00,0.00,0.00,0.00,0.00,69842435.00,69842435.00,0.00,0.00,2483152.00,1664.00,940131.00,1541357.00,732148.00,272118041.00,200277556.00,71840485.00,0.00,0.00,0.00,3182021.00,220901.00,3425984.00,0.00,80594.00,74403515.00,8820617.00,314644.00,65268254.00,0.00,61695633.00,42819546.00,17388994.00,1487093.00,0.00,514281105.00,55360265.00,3701.00
NORTH DAKOTA,2022,26312690,0,0,26312690,6182766,2703326,2265554.00,437772.00,10907721.00,10907721.00,0.00,0.00,1122770.00,1122770.00,0.00,0.00,3743808.00,0.00,8679.00,3735129.00,439813.00,1203825.00,1203825.00,0.00,0.00,0.00,0.00,14620.00,0.00,0.00,243474.00,0.00,3900449.00,3900449.00,0.00,0.00,0.00,4404469.00,3367594.00,112772.00,924103.00,0.00,28684275.00,0.00,12880467.00
OHIO,2022,725565965,0,72556596,653009369,618965248,205879842.5,205879842.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85274022.00,11883364.22,20843156.22,52547501.56,49623708.02,419180562.75,418254965.80,925596.95,33082.69,0.00,0.00,57852321.78,19408661.73,12941029.64,63229340.86,11199182.82,21020486.19,4593755.87,0.00,16426730.32,0.00,133133306.94,89770536.70,29323773.01,14038997.23,0.00,1078775547.89,646643767.07,0.00
OKLAHOMA,2022,138007998,27601599,13800800,96605599,333671323,11314536,10293553.00,1020983.00,5863341.00,5863341.00,0.00,0.00,0.00,0.00,0.00,0.00,20214621.00,0.00,20214621.00,0.00,163129.00,49674645.00,49674645.00,0.00,0.00,0.00,0.00,358611.00,1512173.00,1300123.00,0.00,14017443.00,6681529.00,6200331.00,0.00,481198.00,0.00,7804467.00,5229016.00,1595490.00,979961.00,172453.00,119077071.00,74265201.00,294233587.00
OREGON,2022,165835476,0,0,165835476,135508031,76946384.56,76946384.56,0.00,12916355.14,11409939.27,0.00,1506415.87,0.00,0.00,0.00,0.00,18480890.67,747368.68,2405987.06,15327534.93,6722030.92,46183596.05,28497197.59,17686398.46,0.00,0.00,3380632.00,22639811.65,9940680.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20548083.07,14923970.07,5624113.01,0.00,0.00,217758464.33,0.00,181087771.91
PENNSYLVANIA,2022,717124957,172650000,30977000,513497957,797355823,101363795,101363795.00,0.00,0.00,0.00,0.00,0.00,46027648.00,0.00,45603995.00,423653.00,95607430.00,0.00,1477110.00,94130320.00,1183594.00,532491104.00,256137649.00,276353455.00,0.00,0.00,0.00,8720559.00,0.00,0.00,30925490.00,1834714.00,0.00,0.00,0.00,0.00,12741958.00,58564069.00,48639161.00,0.00,9924908.00,0.00,889460361.00,180616172.00,776022819.00
RHODE ISLAND,2022,94708016,0,5306250,89401766,51700841,20322419,20322419.00,0.00,0.00,0.00,0.00,0.00,4716305.00,0.00,0.00,4716305.00,9577245.00,0.00,0.00,9577245.00,1248195.00,25235435.00,24045435.00,1190000.00,0.00,19364568.00,121851.00,0.00,19551259.00,0.00,0.00,0.00,19032366.00,0.00,0.00,19032366.00,0.00,9600301.00,5806526.00,3588580.00,205195.00,0.00,128769944.00,0.00,82379594.00
SOUTH CAROLINA,2022,111507587,0,0,99637930,8378505,30720530,21032445.00,9688085.00,0.00,0.00,0.00,0.00,176776.00,176776.00,0.00,0.00,20706834.00,0.00,20299126.00,407708.00,851303.00,31175339.00,4085269.00,27090070.00,0.00,0.00,0.00,0.00,2672701.00,0.00,0.00,2447295.00,6953312.00,1382668.00,79.00,5570565.00,0.00,65469411.00,16379656.00,47571259.00,1518496.00,1835878.00,163009379.00,0.00,10062450.00
SOUTH DAKOTA,2022,21207402,0,2120740,19086662,23311045,12273463,12273463.00,0.00,7175799.00,4201821.00,0.00,2973978.00,0.00,0.00,0.00,0.00,3090709.00,0.00,0.00,3090709.00,56308.00,802914.00,802914.00,0.00,0.00,0.00,0.00,0.00,240798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,722990.00,2034769.00,2034769.00,0.00,0.00,0.00,26397750.00,0.00,24539957.00
TENNESSEE,2022,190891768,0,0,190891768,798337364.5,68437014.16,68437014.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32225928.13,0.00,3260338.70,28965589.43,2176988.01,86102366.78,1689015.04,84413351.74,0.00,0.00,0.00,0.00,0.00,17500349.49,1866452.75,34890.26,32216830.20,32216830.20,0.00,0.00,1228060.48,28485695.78,28463121.76,0.00,22574.02,0.00,270274576.04,0.00,808194074.01
TEXAS,2022,542387696,0,45117680,439534425,364200685.5,19427970,19427970.00,0.00,102571921.90,102571921.90,0.00,0.00,314186204.13,314186204.13,0.00,0.00,74813673.19,1220515.68,9263092.77,64330064.74,1355784.34,343639724.00,0.00,343639724.00,0.00,0.00,0.00,24183785.50,26081761.98,12574124.91,3846202.49,0.00,0.00,0.00,0.00,0.00,13345999.61,59938162.29,46854609.68,0.00,13083552.62,0.00,995965314.34,0.00,237402433.15
UTAH,2022,75355939,15071188,7535000,52749751,76593708,13711110,13711110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14541226.00,48704.00,1022633.00,13469889.00,0.00,13320646.00,7114010.00,6206636.00,1670828.00,0.00,0.00,1767188.00,2607550.00,2898358.00,2377570.00,681930.00,2108803.00,2108803.00,0.00,0.00,0.00,7456761.00,6150294.00,300520.00,1005947.00,0.00,63141970.00,0.00,91089195.00
VERMONT,2022,47196916,9224076,4719692,33253148,0,13294691.94,13294691.94,0.00,0.00,0.00,0.00,0.00,8521689.85,8521689.85,0.00,0.00,220812.44,0.00,14040.36,206772.08,809225.53,26113393.65,26113393.65,0.00,0.00,14578313.66,0.00,1591982.36,65931.70,2478740.98,125000.00,0.00,0.00,0.00,0.00,0.00,0.00,10039293.91,4844831.68,3904978.13,1289484.12,0.00,77839076.04,0.00,0.00
VIRGINIA,2022,157762831,18016245,15776283,123970303,112371054,98173076,98173076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33377950.00,97795.00,615116.00,32665039.00,4322219.00,29569267.00,21878447.00,7690820.00,35043.00,185725.00,0.00,6435471.00,5314707.00,2217392.00,0.00,0.00,61801726.00,53477134.00,0.00,8324592.00,940719.00,49716587.00,46615141.00,0.00,3101446.00,17361750.00,309451632.00,6339567.00,56178038.00
WASHINGTON,2022,424135717,108021310.6,5675000,265291391.4,141681659.5,211250548.8,211250548.76,0.00,0.00,0.00,0.00,0.00,2350699.00,0.00,0.00,2350699.00,131470656.53,10493983.45,70610447.63,50366225.47,0.00,182261823.64,116229472.64,66032351.00,0.00,0.00,0.00,28410101.65,2469567.50,293222333.93,0.00,0.00,8025000.00,0.00,0.00,8025000.00,16818758.00,65067921.64,48230811.70,0.00,16837109.94,97270261.73,1038617672.39,0.00,59997508.60
WEST VIRGINIA,2022,109812728,0,10981271,98831457,110193051,45725584.23,45725584.23,0.00,21530870.48,21306486.93,0.00,224383.55,0.00,0.00,0.00,0.00,342648.00,0.00,0.00,342648.00,10911289.01,21096392.00,21096392.00,0.00,0.00,0.00,0.00,1653409.71,4137864.92,15.00,0.00,0.00,7967475.17,2931090.73,0.00,5036384.44,0.00,12919892.18,8839365.15,0.00,4080527.03,0.00,126285440.69,0.00,117185511.30
WISCONSIN,2022,312845980,62569196,14653500,235623284,213669499,69839983,69839983.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35191918.00,2779346.00,5881694.00,26530878.00,1519506.00,103881311.00,103881311.00,0.00,0.00,53850000.00,0.00,25016031.00,13592517.00,85385951.00,1458956.00,1659082.00,10878702.00,10878702.00,0.00,0.00,6503342.00,35063021.00,27919421.00,2185309.00,4958291.00,79076.00,443919396.00,0.00,268821842.00
WYOMING,2022,18428651,0,0,18428651,25429612,13235425,3833564.00,9401861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3971863.00,0.00,3971863.00,0.00,0.00,3087641.00,1553707.00,1533934.00,0.00,0.00,0.00,2948635.00,1033322.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,565129.00,2554774.00,2084267.00,218717.00,251790.00,0.00,27396789.00,0.00,26124215.00
U.S. TOTAL,2021,16834272608,1158361971,1125690800,13942219836,6327868875,3355828717,3037388360.30,318440357.00,746106673.00,468957771.00,13693946.00,263454956.00,440796625.00,353251604.00,19319237.00,68225784.00,1892834050.91,108913104.20,576054939.01,1207866007.70,305056648.07,1431470537.00,1360613310.11,70857227.00,2503533.00,235402152.00,0.00,254197224.74,175669182.40,211878525.06,125596433.53,94413654.15,1204048238.60,604756004.62,9527831.00,589764402.98,127812701.64,2220516002.85,1175159480.57,864516012.65,180840509.63,43167376.00,12867298275.11,1854617775.81,6156520318.44
